"name","brewery_type","address","address2","phone","website","pull_date","city","state","state_full","HD01_S023","HD02_S023"
"The Beer'd Brewing Company","Micro","22 Bayview Ave Ste 15","Stonington, CT 06378-1143","(860) 213-9307","www.beerdbrewing.com","2018-09-12","Stonington","CT","Connecticut",2610182,73
"(405) Brewing Co","Micro","1716 Topeka St","Norman, OK 73069-8224","(405) 816-0490","www.405brewing.com","2018-09-12","Norman","OK","Oklahoma",2653673,70.7
"(512) Brewing Co","Micro","407 Radam Ln Ste F200","Austin, TX 78745-1197","(512) 921-1545","www.512brewing.com","2018-09-12","Austin","TX","Texas",17154807,68.2
"???? Prodigy Brewing Company","Contract","1259 Linda Vista Dr","San Marcos, CA 92078-3827","NA","www.prodigybrewingcompany.com","2018-09-12","San Marcos","CA","California",26228272,70.4
"10 Barrel Brewing Co","Large","1411 NW Flanders St","Portland, OR 97209-2620","(503) 224-1700","www.10barrel.com","2018-09-12","Portland","OR","Oregon",2806429,73.3
"10 Barrel Brewing Co","Large","830 W Bannock St","Boise, ID 83702-5857","(541) 678-5228","www.10barrel.com","2018-09-12","Boise","ID","Idaho",1070097,68.3
"10 Barrel Brewing Co","Large","62970 18th St","Bend, OR 97701-9847","(541) 585-1007","www.10barrel.com","2018-09-12","Bend","OR","Oregon",2806429,73.3
"10 Barrel Brewing Co","Large","1501 E St","San Diego, CA 92101-6618","(619) 578-2311","10barrel.com","2018-09-12","San Diego","CA","California",26228272,70.4
"10 Barrel Brewing Co","Large","1135 NW Galveston Ave Ste B","Bend, OR 97703-2465","(541) 585-1007","NA","2018-09-12","Bend","OR","Oregon",2806429,73.3
"10 Barrel Brewing Co - Bend Pub","Large","62950 NE 18th St","Bend, OR 97701","(541) 585-1007","NA","2018-09-12","Bend","OR","Oregon",2806429,73.3
"10 Barrel Brewing Co - Denver","Large","2620 Walnut St","Denver, CO 80205-2231","(720) 573-8992","NA","2018-09-12","Denver","CO","Colorado",3595067,71.5
"10 Torr Distilling and Brewing","Micro","490 Mill St","Reno, NV 89502","(775) 530-7014","www.10torr.com","2018-09-12","Reno","NV","Nevada",1928669,71.4
"101 Brewery","Brewpub","294793 US Highway 101","Quilcene, WA 98376-9000","(360) 765-6485","www.101brewery.com","2018-09-12","Quilcene","WA","Washington",4860559,72.3
"101 North Brewing Company","Micro","1304 Scott St Ste D","Petaluma, CA 94954-7100","(707) 753-4934","www.101northbeer.com","2018-09-12","Petaluma","CA","California",26228272,70.4
"105 West Brewing Co","Micro","1043 Park St","Castle Rock, CO 80109-1585","(303) 325-7321","www.105westbrewing.com","2018-09-12","Castle Rock","CO","Colorado",3595067,71.5
"10-56 Brewing Company","Micro","2120 S US Hwy 35","Knox, IN 46534","(630) 816-5790","NA","2018-09-12","Knox","IN","Indiana",4578226,70.6
"10K Brewing","Micro","2005 2nd Ave","Anoka, MN 55303-2243","(763) 392-4753","10KBrew.com","2018-09-12","Anoka","MN","Minnesota",3799982,71.6
"10th District Brewing Company","Micro","491 Washington St","Abington, MA 02351-2419","(781) 307-1554","www.10thdistrictbrewing.com","2018-09-12","Abington","MA","Massachusetts",4825238,73.7
"11 Below Brewing Company","Micro","6820 Bourgeois Rd","Houston, TX 77066-3107","(281) 444-2337","www.11belowbrewing.com","2018-09-12","Houston","TX","Texas",17154807,68.2
"1188 Brewing Co","Brewpub","141 E Main St","John Day, OR 97845-1210","(541) 575-1188","www.1188brewing.com","2018-09-12","John Day","OR","Oregon",2806429,73.3
"12 Gates Brewing Company","Brewpub","80 Earhart Dr Ste 20","Williamsville, NY 14221-7804","(716) 906-6600","www.12gatesbrewing.com","2018-09-12","Williamsville","NY","New York",14187508,73.2
"12 West Brewing Company","Micro","3000 E Ray Rd Bldg 6","Gilbert, AZ 85296-7832","(602) 339-5014","www.12westbrewing.com","2018-09-12","Gilbert","AZ","Arizona",4478620,70.1
"12 West Brewing Company - Production Facility","Micro","7733 E McDowell Rd","Mesa, AZ 85207","NA","NA","2018-09-12","Mesa","AZ","Arizona",4478620,70.1
"127 Brewing","Micro","3090 Shirley Dr","Jackson, MI 49201-7010","(517) 258-1346","NA","2018-09-12","Jackson","MI","Michigan",7085405,71.7
"12Degree Brewing","Brewpub","820 Main St","Louisville, CO 80027-1865","(303) 579-1004","www.12degree.com","2018-09-12","Louisville","CO","Colorado",3595067,71.5
"12welve Eyes Brewing","Micro","141 E 4th St Ste LL2","Saint Paul, MN 55101-1639","(651) 493-8106","www.12welveEyes.com","2018-09-12","Saint Paul","MN","Minnesota",3799982,71.6
"13 Below Brewery","Micro","7391 Forbes Rd","Cincinnati, OH 45233-1013","(513) 975-0613","www.13belowbrewery.com","2018-09-12","Cincinnati","OH","Ohio",8305392,72
"13 Point Brewing","Planning","","Lemon Grove, CA 91945","(619) 724-2445","www.13pointbrewing.com","2018-09-12","Lemon Grove","CA","California",26228272,70.4
"13 Stripes Brewery","Brewpub","250 Mill St, Suite PW3101","Taylors, SC 29687","(864) 349-1430","www.13StripesBrewery.com","2018-09-12","Taylors","SC","South Carolina",3327093,71.9
"13 Virtues Brewing Co","Brewpub","6410 SE Milwaukie Ave","Portland, OR 97202-5518","(503) 239-3831","www.13virtuesbrewing.com","2018-09-12","Portland","OR","Oregon",2806429,73.3
"1323 R & D","Micro","1323 Capital Blvd 1323 R and D","Raleigh, NC 27603-1117","(919) 977-5654","www.1323rnd.com","2018-09-12","Raleigh","NC","North Carolina",6835727,71.7
"13th Child Brewery","Micro","345 S Main St","Williamstown, NJ 08094","(609) 214-2289","NA","2018-09-12","Williamstown","NJ","New Jersey",6391930,72.7
"14 Cannons Brewing Company","Micro","31125 Via Colinas Ste 907","Westlake Village, CA 91362-3974","(818) 699-6165","14cannons.com","2018-09-12","Westlake Village","CA","California",26228272,70.4
"14 Lakes Brewery","Micro","","Crosslake, MN 56442","(218) 692-4129","NA","2018-09-12","Crosslake","MN","Minnesota",3799982,71.6
"1487 Brewery","Micro","","Alexandria, OH","NA","NA","2018-09-12","Alexandria","OH","Ohio",8305392,72
"14er Brewing Company","Proprietor","2801 Walnut St","Denver, CO 80205-2235","(720) 773-1437","www.14erBrewing.com","2018-09-12","Denver","CO","Colorado",3595067,71.5
"14th Star Brewing","Micro","133 N Main St Ste 7","Saint Albans, VT 05478-1735","(802) 528-5988","www.14thstarbrewing.com","2018-09-12","Saint Albans","VT","Vermont",465053,74.3
