"full_string","pull_date"
"
						 The Beer'd Brewing Company22 Bayview Ave Ste 15 Stonington, CT 06378-1143 | MapPhone: (860) 213-9307Type: Microwww.beerdbrewing.com",2018-08-20
"
						(405) Brewing Co1716 Topeka St Norman, OK 73069-8224 | MapPhone: (405) 816-0490Type: Microwww.405brewing.com",2018-08-20
"
						(512) Brewing Co407 Radam Ln Ste F200 Austin, TX 78745-1197 | MapPhone: (512) 921-1545Type: Microwww.512brewing.com",2018-08-20
"
						????   Prodigy Brewing Company 1259 Linda Vista Dr San Marcos, CA 92078-3827 | MapType: Contractwww.prodigybrewingcompany.com",2018-08-20
"
						10 Barrel Brewing Co1411 NW Flanders St Portland, OR 97209-2620 | MapPhone: (503) 224-1700Type: Largewww.10barrel.comGreater than 25% ownership by Anheuser-Busch InBev.",2018-08-20
"
						10 Barrel Brewing Co830 W Bannock St Boise, ID 83702-5857 | MapPhone: (541) 678-5228Type: Largewww.10barrel.comGreater than 25% ownership by Anheuser-Busch InBev.",2018-08-20
"
						10 Barrel Brewing Co62970 18th St Bend, OR 97701-9847 | MapPhone: (541) 585-1007Type: Largewww.10barrel.comGreater than 25% ownership by Anheuser-Busch InBev.",2018-08-20
"
						10 Barrel Brewing Co1501 E St San Diego, CA 92101-6618 | MapPhone: (619) 578-2311Type: Large10barrel.comGreater than 25% ownership by Anheuser-Busch InBev.",2018-08-20
"
						10 Barrel Brewing Co1135 NW Galveston Ave Ste B Bend, OR 97703-2465 | MapPhone: (541) 585-1007Type: LargeGreater than 25% ownership by Anheuser-Busch InBev.",2018-08-20
"
						10 Barrel Brewing Co - Bend Pub62950 NE 18th St Bend, OR 97701 | MapPhone: (541) 585-1007Type: LargeGreater than 25% ownership by Anheuser-Busch InBev.",2018-08-20
"
						10 Barrel Brewing Co - Denver2620 Walnut St Denver, CO 80205-2231 | MapPhone: (720) 573-8992Type: LargeGreater than 25% ownership by Anheuser-Busch InBev.",2018-08-20
