"name","brewery_type","address","address2","phone","website","pull_date"
" Liberati","Type: Brewpub","2001 Lincoln St Unit 2221 ","Denver, CO 80202-3873 | Map","Phone: (323) 740-2368",NA,2018-10-30
"(405) Brewing Co","Type: Micro","1716 Topeka St ","Norman, OK 73069-8224 | Map","Phone: (405) 816-0490","www.405brewing.com",2018-10-30
"(512) Brewing Co","Type: Micro","407 Radam Ln Ste F200 ","Austin, TX 78745-1197 | Map","Phone: (512) 921-1545","www.512brewing.com",2018-10-30
"10 Barrel Brewing Co","Type: Large","62970 18th St ","Bend, OR 97701-9847 | Map","Phone: (541) 585-1007","www.10barrel.com",2018-10-30
"10 Barrel Brewing Co","Type: Large","830 W Bannock St ","Boise, ID 83702-5857 | Map","Phone: (541) 678-5228","www.10barrel.com",2018-10-30
"10 Barrel Brewing Co","Type: Large","1411 NW Flanders St ","Portland, OR 97209-2620 | Map","Phone: (503) 224-1700","www.10barrel.com",2018-10-30
"10 Barrel Brewing Co","Type: Large","1501 E St ","San Diego, CA 92101-6618 | Map","Phone: (619) 578-2311","10barrel.com",2018-10-30
"10 Barrel Brewing Co","Type: Large","1135 NW Galveston Ave Ste B ","Bend, OR 97703-2465 | Map","Phone: (541) 585-1007",NA,2018-10-30
"10 Barrel Brewing Co - Bend Pub","Type: Large","62950 NE 18th St ","Bend, OR 97701 | Map","Phone: (541) 585-1007",NA,2018-10-30
"10 Barrel Brewing Co - Denver","Type: Large","2620 Walnut St ","Denver, CO 80205-2231 | Map","Phone: (720) 573-8992",NA,2018-10-30
"10 Mile Brewery","Type: Micro","100 Lincoln St ","Porter, IN 46304 | Map",NA,NA,2018-10-30
"10 Torr Distilling and Brewing","Type: Micro","490 Mill St ","Reno, NV 89502 | Map","Phone: (775) 530-7014","www.10torr.com",2018-10-30
"101 Brewery","Type: Brewpub","294793 US Highway 101 ","Quilcene, WA 98376-9000 | Map","Phone: (360) 765-6485","www.101brewery.com",2018-10-30
"101 North Brewing Company","Type: Micro","1304 Scott St Ste D ","Petaluma, CA 94954-7100 | Map","Phone: (707) 753-4934","www.101northbeer.com",2018-10-30
"105 West Brewing Co","Type: Micro","1043 Park St ","Castle Rock, CO 80109-1585 | Map","Phone: (303) 325-7321","www.105westbrewing.com",2018-10-30
"10-56 Brewing Company","Type: Micro","2120 S US Hwy 35 ","Knox, IN 46534 | Map","Phone: (630) 816-5790",NA,2018-10-30
"10K Brewing","Type: Micro","2005 2nd Ave ","Anoka, MN 55303-2243 | Map","Phone: (763) 392-4753","10KBrew.com",2018-10-30
"10th District Brewing Company","Type: Micro","491 Washington St ","Abington, MA 02351-2419 | Map","Phone: (781) 307-1554","www.10thdistrictbrewing.com",2018-10-30
"11 Below Brewing Company","Type: Micro","6820 Bourgeois Rd ","Houston, TX 77066-3107 | Map","Phone: (281) 444-2337","www.11belowbrewing.com",2018-10-30
"1188 Brewing Co","Type: Brewpub","141 E Main St ","John Day, OR 97845-1210 | Map","Phone: (541) 575-1188","www.1188brewing.com",2018-10-30
"12 Gates Brewing Company","Type: Brewpub","80 Earhart Dr Ste 20 ","Williamsville, NY 14221-7804 | Map","Phone: (716) 906-6600","www.12gatesbrewing.com",2018-10-30
"12 West Brewing Company","Type: Micro","3000 E Ray Rd Bldg 6 ","Gilbert, AZ 85296-7832 | Map","Phone: (602) 339-5014","www.12westbrewing.com",2018-10-30
"12 West Brewing Company - Production Facility","Type: Micro","7733 E McDowell Rd ","Mesa, AZ 85207 | Map",NA,NA,2018-10-30
"127 Brewing","Type: Micro","3090 Shirley Dr ","Jackson, MI 49201-7010 | Map","Phone: (517) 258-1346",NA,2018-10-30
"12Degree Brewing","Type: Brewpub","820 Main St ","Louisville, CO 80027-1865 | Map","Phone: (303) 579-1004","www.12degree.com",2018-10-30
"12welve Eyes Brewing","Type: Micro","141 E 4th St Ste LL2","Saint Paul, MN 55101-1639 | Map","Phone: (651) 493-8106","www.12welveEyes.com",2018-10-30
"13 Below Brewery","Type: Micro","7391 Forbes Rd ","Cincinnati, OH 45233-1013 | Map","Phone: (513) 975-0613","www.13belowbrewery.com",2018-10-30
"13 Point Brewing","Type: Planning"," ","Lemon Grove, CA 91945","Phone: (619) 724-2445","www.13pointbrewing.com",2018-10-30
"13 Stripes Brewery","Type: Brewpub","250 Mill St, Suite PW3101 ","Taylors, SC 29687 | Map","Phone: (864) 349-1430","www.13StripesBrewery.com",2018-10-30
"13 Virtues Brewing Co","Type: Brewpub","6410 SE Milwaukie Ave ","Portland, OR 97202-5518 | Map","Phone: (503) 239-3831","www.13virtuesbrewing.com",2018-10-30
"1323 R & D","Type: Micro","1323 Capital Blvd 1323 R and D","Raleigh, NC 27603-1117 | Map","Phone: (919) 977-5654","www.1323rnd.com",2018-10-30
"13th Child Brewery","Type: Micro","345 S Main St ","Williamstown, NJ 08094 | Map","Phone: (609) 214-2289",NA,2018-10-30
"14 Cannons Brewing Company","Type: Micro","31125 Via Colinas Ste 907 ","Westlake Village, CA 91362-3974 | Map","Phone: (818) 699-6165","14cannons.com",2018-10-30
"14 Lakes Brewery","Type: Micro"," ","Crosslake, MN 56442","Phone: (218) 692-4129",NA,2018-10-30
"1487 Brewery","Type: Micro"," ","Alexandria, OH ",NA,NA,2018-10-30
"14er Brewing Company","Type: Proprietor","2801 Walnut St ","Denver, CO 80205-2235 | Map","Phone: (720) 773-1437","www.14erBrewing.com",2018-10-30
"14th Star Brewing","Type: Micro","133 N Main St Ste 7 ","Saint Albans, VT 05478-1735 | Map","Phone: (802) 528-5988","www.14thstarbrewing.com",2018-10-30
"1524 Brew House","Type: Planning"," ","Clay Center, KS 67432","Phone: (913) 360-9927",NA,2018-10-30
"16 Lots Brewing","Type: Brewpub","753 Reading Rd ","Mason, OH 45040-1303 | Map","Phone: (513) 486-3672","www.16lots.com",2018-10-30
"16 Stone Brewpub","Type: Brewpub","9542 Main St ","Holland Patent, NY 13354 | Map","Phone: (315) 865-8500","www.16stonebrewpub.com",2018-10-30
"1623 Brewing CO, llc","Type: Contract","1146 colonel Joshua Ct ","Westminister, MD 21157 | Map",NA,NA,2018-10-30
"1718 Ocracoke Brewing","Type: Brewpub","1129 Irvin Garrish Hwy ","Ocracoke, NC 27960 | Map","Phone: (252) 928-2337","www.ocracokebrewing.com",2018-10-30
"1766 Brewing Company","Type: Micro","7  Route 25 ","Plymouth, NH 03264-3141 | Map","Phone: (603) 236-6850",NA,2018-10-30
"1781 Brewing Company","Type: Micro","11109 Plank Rd ","Spotsylvania, VA 22553-4258 | Map","Phone: (540) 841-2598",NA,2018-10-30
"180 and Tapped","Type: Micro","2010 A State Ave ","Coraopolis, PA 15108 | Map","Phone: (412) 737-5273","www.180andtapped.com",2018-10-30
"1817 Brewery","Type: Micro","100 B South Olive St ","okolona, MS 38860 | Map","Phone: (662) 305-5907",NA,2018-10-30
"1840 Brewing Company","Type: Micro","342 E Ward St ","Milwaukee, WI 53207-1348 | Map","Phone: (414) 236-4056","www.1840brewing.com",2018-10-30
"1850 Brewing Company","Type: Micro"," ","Mariposa, CA 95338",NA,"www.1850restaurant.com",2018-10-30
"18th Street Brewery","Type: Micro","5417 Oakley Ave ","Hammond, IN 46320-1817 | Map",NA,NA,2018-10-30
"18th Street Brewery","Type: Micro","5725 Miller Ave ","Gary, IN 46403-2871 | Map",NA,"www.18thstreetbrewery.com",2018-10-30
"1905 Brewing Company","Type: Micro","1301 S Chestnut St ","Assumption, IL 62510-8504 | Map","Phone: (217) 254-9374","1905BrewingCompany.com",2018-10-30
"1912 Brewing","Type: Micro","2045 N Forbes Blvd Ste 105 ","Tucson, AZ 85745-1444 | Map","Phone: (520) 256-4851","www.1912brewing.com",2018-10-30
"192 Brewing","Type: Micro","7324 NE 175th St ","Kenmore, WA 98028-2500 | Map","Phone: (425) 424-2337","www.192brewing.com",2018-10-30
"1940's Brewing Company","Type: Micro","1337 Lincoln Ave Unit 1 ","Holbrook, NY 11741-2275 | Map","Phone: 631-533-4838","www.1940sbrewingcompany.com",2018-10-30
"1st Republic Brewing Co","Type: Micro","39 River Rd Ste 6 ","Essex Junction, VT 05452-3879 | Map","Phone: (802) 857-5318","www.1strepublic-homebrew.com",2018-10-30
"2 Basset Brewery","Type: Micro","202 E Main St ","White Sulphur Springs, MT 59645-9081 | Map","Phone: (406) 547-2337","www.2bassetbrewery.com",2018-10-30
"2 Dogz and A Guy Brewing","Type: Micro","228 Church St ","Montrose, PA 18801-1271 | Map","Phone: (570) 432-0069","2dogzandaguybrewing.com",2018-10-30
"2 Feet Brewing Company","Type: Brewpub","80 Columbia St ","Bangor, ME 04401-6319 | Map","Phone: 207-573-1979  ","www.2feetbrewing.com",2018-10-30
"2 Row Brewing","Type: Micro","6856 S 300 W ","Midvale, UT 84047-1083 | Map","Phone: (801) 987-8663","www.2rowbrewing.com",2018-10-30
"2 Silos Brewing Company","Type: Micro","9925 Discovery Blvd ","Manassas, VA 20109 | Map","Phone: (703) 420-2257","www.2silosbrewing.com",2018-10-30
"2 Tones Brewing Co.","Type: Micro","145 N Hamilton Rd ","Whitehall, OH 43213-1308 | Map","Phone: (740) 412-0845","www.2tonesbrewingco.com",2018-10-30
